id,date_posted,job_role ,job_desc,salary,years_of_exp,employ_id,company_name,company_email
10000,2021-02-03,PRODUCT DEVELOPMENT LEAD,Be in charge of product development and determine product specification for each production stages.,29976,2,10057,C. V. PTE LTD,CV_ADMIN@cvmail.com
10001,2021-07-12,PROJECT MANAGER,Ensure delivery of project. Ensure timeline of projects are closely followed. Stakeholder management in case of problems encountered during project.,59508,1,10069,S. H. PTE LTD,SH_ADMIN@shmail.com
10002,2021-10-10,CHIEF ENGINEER,Study and understand the issues surround a problem,30144,6,10079,Q. H. PTE LTD,QH_ADMIN@qhmail.com
10003,2021-09-04,ACCOUNT MANAGER,Manage accounting tasks and timeline. Prepare accounting checks and update accounting presentation slides.,75264,8,10059,W. Q. PTE LTD,WQ_ADMIN@wqmail.com
10004,2021-05-08,GAME DEVELOPER,Build and design mobile game for cater to diverse gamers communities. Implement game features following tight development timeline.,28536,4,10066,E. M. PTE LTD,EM_ADMIN@emmail.com
10005,2021-07-24,CHIEF INNOVATION OFFICER,Deliver and lead conferences in innovative development,31704,10,10071,Y. J. PTE LTD,YJ_ADMIN@yjmail.com
10006,2021-08-27,CHIEF ANIMATOR,Deliver timely animation work tasks. Draw up production timeline and manage animation development team.,30696,5,10057,C. V. PTE LTD,CV_ADMIN@cvmail.com
10007,2021-05-06,PRODUCT DEVELOPER,Onsite maintenance for ongoing product development. Test product reliability and functionalities.,29364,2,10069,S. H. PTE LTD,SH_ADMIN@shmail.com
10008,2021-07-17,PROJECT MANAGER,Ensure delivery of project. Ensure timeline of projects are closely followed. Stakeholder management in case of problems encountered during project.,52896,2,10083,T. J. PTE LTD,TJ_ADMIN@tjmail.com
10009,2021-07-19,PRODUCT MANAGER,Coordinate product development projects with team of product engineers.,48744,2,10068,T. N. PTE LTD,TN_ADMIN@tnmail.com
10010,2021-07-10,DESIGNER DIRECTOR,Transform the art and design landscape. Spearhead bold and innovative design projects.,61968,2,10061,D. G. PTE LTD,DG_ADMIN@dgmail.com
10011,2021-02-23,GRAPHICS DESIGNER,Design visual communication materials. Produce company marketing graphics and support in crafting emailer.,80892,6,10088,Y. Y. PTE LTD,YY_ADMIN@yymail.com
10012,2021-08-22,SALES STRATEGY LEAD,Open up previously inaccessible sales channels and negotiate contractual terms and establish long term goals for company sales strategies.,66780,7,10044,B. J. PTE LTD,BJ_ADMIN@bjmail.com
10013,2021-11-27,FULLSTACK DEVELOPER,Build both front and back-end web application. Work with web designers and database managers in the development.,81624,5,10073,H. C. PTE LTD,HC_ADMIN@hcmail.com
10014,2021-03-14,HUMAN RESOURCE EXECUTIVE,HeadHunt for talents and recommend matching jobs. Ensure payroll and employee data are properly recorded.,47316,5,10087,I. I. PTE LTD,II_ADMIN@iimail.com
10015,2021-02-05,WEB DEVELOPER,Create web application. Build web front-end. Coordinate with backend. Use design tools. Maintain website deployment process.,49368,3,10072,N. V. PTE LTD,NV_ADMIN@nvmail.com
10016,2021-10-04,RESEARCHER,Conduct research on social statistics. Analyse and discover insights to research findings. Report findings by publishing in international journals.,68892,6,10062,X. M. PTE LTD,XM_ADMIN@xmmail.com
10017,2021-05-05,CHIEF SECURITY OFFICER,Implement Cybersecurity plan. Conduct training for best practices in cybesecurities.,30876,6,10050,I. Y. PTE LTD,IY_ADMIN@iymail.com
10018,2021-08-06,MUSIC THERAPIST,Design music programme and activities.  Conduct talk for raising awareness in music therapies.,63804,4,10081,P. V. PTE LTD,PV_ADMIN@pvmail.com
10019,2021-07-27,DATA SPECIALIST,Ensure integrity of data. Continuously explore new data insights and expand on data horizons. Generate new development pathways based on data findings.,83544,1,10062,X. M. PTE LTD,XM_ADMIN@xmmail.com
10020,2021-10-13,SENIOR UI/UX DEVELOPER,Mentor younger UI/UX developers. Design customer-centric web and mobile app user interfaces.,51336,0,10045,M. L. PTE LTD,ML_ADMIN@mlmail.com
